,index,Path3,Path8,Path14,Path65,Path66
225,225,108.13664223194048,1466.7750132491187,138.91899935143942,0.0,0.0
226,226,866.4064467003876,2099.42056761214,686.9486508718533,0.0,0.0
227,227,368.05626715090375,292.0156386250125,0.0,0.0,0.0
228,228,0.0,1686.9906983113442,273.323943055055,0.0,0.0
229,229,1258.2214257553474,1537.5781045199485,425.4687343360362,0.0,0.0
230,230,2265.847702619656,1540.3595060686305,479.7409316317736,0.0,0.0
231,231,1973.18350923186,1877.9650416364639,1064.32156224334,0.0,0.0
232,232,1368.231579895978,1665.2689712492333,673.5767527055614,0.0,0.0
233,233,1350.5544696914992,1702.080745577197,626.5480837936102,0.0,0.0
234,234,0.0,1848.4219487463345,254.0035862738531,0.0,0.0
235,235,370.5682057350116,1732.1229366877744,487.8821076034441,0.0,0.0
236,236,615.5688561636284,1584.2681323078546,183.7817122738211,0.0,0.0
237,237,97.09815728654422,1589.6794139330232,363.59107010954835,0.0,0.0
238,238,333.3868010345417,654.523932992046,0.0,13.29322064312123,0.0
239,239,895.6716503099243,1397.922647131745,43.35434388006955,0.0,0.0
240,240,0.0,1137.4861698525015,0.0,0.0,0.0
241,241,299.1361997173743,1189.7005867307241,0.0,0.0,0.0
242,242,681.6501782402793,1153.9796286454487,0.0,0.0,0.0
243,243,0.0,1573.1805553487475,610.5637181772772,0.0,0.0
244,244,0.0,1825.4241813037768,422.32116295883486,0.0,0.0
245,245,0.0,1632.5950164181995,1068.0408200779932,0.0,0.0
246,246,0.0,1499.198852471354,853.7352959097067,351.2895984860614,0.0
247,247,0.0,1886.6131787060763,876.6561950408568,0.0,0.0
248,248,0.0,1586.1858186236009,763.2647173960968,51.11437794255346,0.0
249,249,0.0,1620.2164958136993,1008.8928907755796,0.0,0.0
250,250,0.0,1835.5430018075951,808.7594244456392,17.47940415797285,0.0
251,251,0.0,1342.3408346317551,370.0231722886161,0.0,0.0
252,252,0.0,1215.455546308122,473.32075922994636,0.0,0.0
253,253,0.0,1225.9116080375998,703.6949328612696,0.0,0.0
254,254,0.0,2049.005065130248,603.1742860164717,0.0,0.0
255,255,0.0,1583.318332374617,882.4471777381436,0.0,0.0
256,256,0.0,1177.667902471848,1306.3055830599699,0.0,0.0
257,257,0.0,1415.4863009429098,1484.5418269903348,0.0,0.0
258,258,0.0,1860.4685716531367,1678.4294347619812,645.528282967992,0.0
259,259,0.0,1771.489757157131,1345.6288622066,0.0,0.0
260,260,0.0,1212.482311841086,656.5648448680911,0.0,0.0
261,261,0.0,1657.0431938230224,668.9193774780772,0.0,0.0
262,262,0.0,1418.3463818183286,1243.9441371289681,388.97857304112284,0.0
263,263,0.0,1396.0774115402414,724.296442308868,61.137242986985065,0.0
