,Constraint,Time,Value
620,Bal2Constraint,165,37.6024
621,Bal2Constraint,166,37.6024
622,Bal2Constraint,167,37.6024
623,Bal2Constraint,168,37.6024
624,Bal3Constraint,145,43.312400000000004
625,Bal3Constraint,146,43.312400000000004
626,Bal3Constraint,147,43.312400000000004
627,Bal3Constraint,148,43.312400000000004
628,Bal3Constraint,149,43.312400000000004
629,Bal3Constraint,150,43.312400000000004
630,Bal3Constraint,151,43.312400000000004
631,Bal3Constraint,152,37.8572
632,Bal3Constraint,153,26.837199999999996
633,Bal3Constraint,154,0.01
634,Bal3Constraint,155,0.01
635,Bal3Constraint,156,0.01
636,Bal3Constraint,157,0.01
637,Bal3Constraint,158,0.01
638,Bal3Constraint,159,0.01
639,Bal3Constraint,160,29.222299999999997
640,Bal3Constraint,161,43.312400000000004
641,Bal3Constraint,162,43.312400000000004
642,Bal3Constraint,163,43.312400000000004
643,Bal3Constraint,164,43.312400000000004
644,Bal3Constraint,165,43.312400000000004
645,Bal3Constraint,166,43.312400000000004
646,Bal3Constraint,167,43.312400000000004
647,Bal3Constraint,168,37.589
648,Bal4Constraint,145,53.272400000000005
649,Bal4Constraint,146,53.272400000000005
650,Bal4Constraint,147,53.272400000000005
651,Bal4Constraint,148,53.272400000000005
652,Bal4Constraint,149,53.272400000000005
653,Bal4Constraint,150,53.272400000000005
654,Bal4Constraint,151,53.272400000000005
655,Bal4Constraint,152,39.458600000000004
656,Bal4Constraint,153,26.837199999999996
657,Bal4Constraint,154,0.01
658,Bal4Constraint,155,0.01
659,Bal4Constraint,156,0.01
660,Bal4Constraint,157,0.01
661,Bal4Constraint,158,0.01
662,Bal4Constraint,159,0.01
663,Bal4Constraint,160,38.29639999999999
664,Bal4Constraint,161,53.272400000000005
665,Bal4Constraint,162,53.272400000000005
666,Bal4Constraint,163,53.272400000000005
667,Bal4Constraint,164,53.272400000000005
668,Bal4Constraint,165,53.272400000000005
669,Bal4Constraint,166,53.272400000000005
670,Bal4Constraint,167,53.272400000000005
671,Bal4Constraint,168,47.549
672,Bal1Constraint,169,37.6024
673,Bal1Constraint,170,37.6024
674,Bal1Constraint,171,37.6024
675,Bal1Constraint,172,37.6024
676,Bal1Constraint,173,37.6024
677,Bal1Constraint,174,37.6024
678,Bal1Constraint,175,37.6024
679,Bal1Constraint,176,37.6024
680,Bal1Constraint,177,37.6024
681,Bal1Constraint,178,31.9638
682,Bal1Constraint,179,28.194200000000002
683,Bal1Constraint,180,9.97
684,Bal1Constraint,181,9.97
685,Bal1Constraint,182,28.194200000000002
686,Bal1Constraint,183,37.6024
687,Bal1Constraint,184,37.6024
688,Bal1Constraint,185,37.6024
689,Bal1Constraint,186,37.6024
690,Bal1Constraint,187,37.6024
691,Bal1Constraint,188,37.6024
692,Bal1Constraint,189,37.6024
693,Bal1Constraint,190,37.6024
694,Bal1Constraint,191,37.6024
695,Bal1Constraint,192,37.6024
696,Bal2Constraint,169,37.6024
697,Bal2Constraint,170,37.6024
698,Bal2Constraint,171,37.6024
699,Bal2Constraint,172,37.6024
700,Bal2Constraint,173,37.6024
701,Bal2Constraint,174,37.6024
702,Bal2Constraint,175,37.6024
703,Bal2Constraint,176,37.6024
704,Bal2Constraint,177,37.6024
705,Bal2Constraint,178,31.9638
706,Bal2Constraint,179,28.194200000000002
707,Bal2Constraint,180,9.97
708,Bal2Constraint,181,9.97
709,Bal2Constraint,182,28.194200000000002
710,Bal2Constraint,183,37.6024
711,Bal2Constraint,184,37.6024
712,Bal2Constraint,185,37.6024
713,Bal2Constraint,186,37.6024
714,Bal2Constraint,187,37.6024
715,Bal2Constraint,188,37.6024
716,Bal2Constraint,189,37.6024
717,Bal2Constraint,190,37.6024
718,Bal2Constraint,191,37.6024
719,Bal2Constraint,192,37.6024
720,Bal3Constraint,169,43.312400000000004
721,Bal3Constraint,170,43.312400000000004
722,Bal3Constraint,171,43.312400000000004
723,Bal3Constraint,172,43.312400000000004
724,Bal3Constraint,173,43.312400000000004
725,Bal3Constraint,174,43.312400000000004
726,Bal3Constraint,175,43.312400000000004
727,Bal3Constraint,176,37.8572
728,Bal3Constraint,177,27.642400000000002
729,Bal3Constraint,178,22.0038
730,Bal3Constraint,179,18.2342
731,Bal3Constraint,180,0.01
732,Bal3Constraint,181,0.01
733,Bal3Constraint,182,18.2342
734,Bal3Constraint,183,27.642400000000002
735,Bal3Constraint,184,43.312400000000004
736,Bal3Constraint,185,43.312400000000004
737,Bal3Constraint,186,43.312400000000004
738,Bal3Constraint,187,43.312400000000004
739,Bal3Constraint,188,43.312400000000004
740,Bal3Constraint,189,43.312400000000004
741,Bal3Constraint,190,43.312400000000004
742,Bal3Constraint,191,43.312400000000004
743,Bal3Constraint,192,43.312400000000004
744,Bal4Constraint,169,42.3272
745,Bal4Constraint,170,53.272400000000005
746,Bal4Constraint,171,42.3272
747,Bal4Constraint,172,53.272400000000005
748,Bal4Constraint,173,53.272400000000005
749,Bal4Constraint,174,53.272400000000005
750,Bal4Constraint,175,53.272400000000005
